1+1,2,2023-10-15 23:55:03
_ A , .3; 1 .. _~ ‘ ,A :5,» 5': _.,_ 1‘ -: . ,7 ;-' f A .-‘ . ‘ .1“: .if-‘Yfr‘t‘“-2,“,4 -..'.’ V ' ' . .A‘m‘ :17 .‘ “f" : -, ‘ ‘r - .= 9;; ‘.ngnﬁa «.2 .> ._ ,rﬂ-f-M ; .”-e‘ \n- v ..- u‘ .(»,.‘ .; .4- , \x{ r ‘ -. mgﬂw~ » "97’ V-H" x ..§rw(‘a‘,»I 3171‘ ‘»,_j‘§ 3 +7.. V, jib'~ Iﬁsﬁw “Vii—”:3: *' ’r‘" \ v .,.. »* . r ”Q «#22 g ,» 75,1 ihw A aI I ‘,Error al recibir el resultado del servidor.,2023-10-16 00:19:00
9*9,81,2023-10-16 00:44:08
1+1,2,2023-10-17 11:41:21
2*2,4,2023-10-17 11:41:26
gm ._ .,-1,2023-10-17 11:41:56
F“1 +1,-1,2023-10-17 11:42:00
1+1,2,2023-10-17 11:42:04
1+1,2,2023-10-25 08:53:20
23+45,9,2023-10-25 08:53:27
1+1,Error al recibir el resultado del servidor.,2023-10-25 08:56:09
1+1,2,2023-10-25 08:56:23
1+1,2,2023-10-25 08:58:46
23+45,9,2023-10-25 08:58:50
1+1,2,2023-10-25 09:02:33
23+45,68,2023-10-25 09:02:38
1321,1321,2023-10-25 09:02:58
1++__#,Error al recibir el resultado del servidor.,2023-10-25 09:03:05
1+1,2,2023-10-25 09:05:21
 (5 * 7) + (12/6),37,2023-10-25 09:06:12
 (5 * (10 - 15)) + 7,-18,2023-10-25 09:06:26
5 * 3 / 8 + (95 % 5 – 10),100,2023-10-25 09:06:56
5*3,15,2023-10-25 09:07:26
5-10,-5,2023-10-25 09:07:36
95%5,0,2023-10-25 09:07:43
95%-5,Error al recibir el resultado del servidor.,2023-10-25 09:07:57
123[[],123,2023-10-25 09:09:43
-=-,-1,2023-10-25 09:09:47
=-=-=,-1,2023-10-25 09:09:53
1'¿'¿,1,2023-10-25 09:11:43
+´+'¿,Expresión inválida,2023-10-25 09:11:48
´'¿´+,Expresión inválida,2023-10-25 09:11:52
pene,Expresión inválida,2023-10-25 09:11:54
1¡!,1,2023-10-25 09:11:58
1+1,2,2023-10-25 09:12:03
faf,Expresión inválida,2023-10-25 09:13:12
95%-5,Expresión inválida,2023-10-25 09:21:01
1+-1,Expresión inválida,2023-10-25 09:22:31
95%(-5),Expresión inválida,2023-10-25 09:23:56
1+1,2,2023-10-25 09:26:24
95%-5,Expresión inválida,2023-10-25 09:26:31
95%-5,Expresión inválida,2023-10-25 09:29:18
95%(5-10),0,2023-10-25 09:29:31
95%5-10,-10,2023-10-25 09:35:40
8 + (95%5-10),-2,2023-10-25 09:36:07
5*3/8+(95%5-10),-9,2023-10-25 09:36:36
1+1,2.0,2023-10-25 09:56:48
5*3/8+(95%5-10),-9.0,2023-10-25 09:58:11
1+1,2.0,2023-10-25 10:08:24
1/2,0.0,2023-10-25 10:08:28
_ 1+1,2,2023-10-25 10:13:11
5*3/8+(95%5-10),-9,2023-10-25 10:23:15
null,java.io.PrintWriter@46f7f36a,2023-10-25 10:23:15
